Contig	viruses_3097x_sr.mmi.139536_S27_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139537_S33_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139538_S35_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139539_COM_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139540_COM_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139541_S25_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139542_COM_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139543_S12_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139544_COM_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139545_S147_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139546_S148_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139547_S149_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139548_S150_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139549_S151_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139550_S152_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139551_S153_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139552_S154_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139553_S155_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139554_S156_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139555_S157_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139556_S158_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139557_S159_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139558_S160_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139560_S161_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139561_S162_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139562_S163_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139563_S164_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139564_S165_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139565_S166_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139566_S167_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139567_S168_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139568_S169_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139569_S170_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139570_S171_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139571_S172_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139572_S173_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139573_S174_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139574_S175_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139575_S176_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139576_S177_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139577_S178_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139578_S179_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139579_S180_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139580_S181_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139581_S182_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139582_S183_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139583_S184_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139584_S185_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139585_S186_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139586_S187_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139587_S188_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139588_S189_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139589_S190_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.139590_S191_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.SD3106_S36_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.SD3107_S37_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.SD3108_S38_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.SD3109_S39_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.SD3110_S40_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.SD3111_S41_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.SD3112_S42_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.SD3113_S43_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.SD3114_S44_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.SD9007_COM_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.SD9008_S2_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.SD9009_S3_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.SD9010_S4_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.SD9011_COM_R1_001.fastq.gz_filtered Read Count	viruses_3097x_sr.mmi.SD9012_S6_R1_001.fastq.gz_filtered Read Count
139536_S27_NODE_29_length_115120_cov_16.753000	20024	17756	15992	15628	15981	5736	8615	806	2043	8375	6321	6539	3792	3134	3088	348	343	607	190	683	529	633	441	397	661	127	269	31	41	49	144	137	46	37	43	98	17204	13547	20540	1631	1397	3305	57	21	82	2082	1172	2153	428	562	555	49	132	97	3537	2338	4328	4798	2510	4118	470	360	492	54	58	35	32	32	44
139536_S27_NODE_1199_length_25945_cov_7.096524	1948	1936	1653	3803	3502	1094	1441	205	416	236	140	164	73	92	92	9	39	115	0	0	0	10	4	0	0	26	29	0	0	4	0	2	0	0	7	0	0	2	0	2	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	8	0	0	6	0	0
139536_S27_NODE_1441_length_23032_cov_6.800888	1644	1877	1792	538	552	146	260	14	13	117	203	702	43	38	59	2	2	24	22	12	11	13	7	10	3	2	3	357	20	58	86	296	63	0	15	0	433	362	200	4	8	9	2	2	7	8	1	0	0	3	0	0	1	0	13	9	6	0	1	2	1	0	1	46	44	25	2	0	0
139537_S33_NODE_49_length_102425_cov_425.481948	409105	453704	449287	103278	119119	35412	49253	2438	5643	356	305	447	217	141	207	546	241	531	3	14	10	33	12	15	32	29	30	14	9	22	34	21	4	18	23	24	7128	4884	4653	271	242	467	10	16	51	3987	2445	4773	786	961	1080	97	197	176	3535	1854	3807	3098	1872	3094	1590	1272	1158	13	5	5	7	22	17
139537_S33_NODE_478_length_41594_cov_5.469607	1559	1817	1477	3045	3507	1085	1724	394	658	1031	440	732	666	773	638	6	4	34	31	300	138	172	81	93	17	30	26	0	0	2	25	26	18	2	6	0	66	50	54	14	26	40	1	4	4	120	44	109	57	71	113	0	7	0	63	43	61	239	164	55	37	55	32	9	24	19	7	5	6
139537_S33_NODE_560_length_39150_cov_4.313314	1433	1662	1452	1942	2151	661	1110	190	360	731	413	488	581	629	717	7	14	5	43	275	129	157	122	121	48	24	27	0	0	0	18	26	12	2	5	5	50	31	50	6	3	12	2	2	5	5	0	2	0	0	3	2	0	0	70	25	81	67	41	22	19	5	10	5	10	5	5	6	2
139537_S33_NODE_740_length_34306_cov_5.831684	1596	2071	1857	993	1060	394	798	155	310	1086	385	638	153	203	210	10	15	16	0	34	10	29	20	20	26	28	71	0	2	2	12	4	14	4	12	2	24	34	57	16	15	17	0	4	34	0	0	2	0	1	0	0	0	0	0	3	2	125	71	47	66	46	45	30	41	11	29	2	14
139537_S33_NODE_770_length_33835_cov_6.754026	1164	1444	1247	996	1076	311	365	27	38	170	125	108	6	7	0	0	0	0	0	0	0	2	0	1	0	0	0	12	1	14	2	1	1	0	0	0	53	61	81	3	8	2	0	0	0	31	44	32	18	27	26	0	0	0	216	161	368	36	17	22	0	0	0	4	0	0	0	0	0
139537_S33_NODE_781_length_33536_cov_13.816105	4554	4782	4281	6475	5904	2214	2377	291	740	3313	2048	2924	956	1313	952	1159	1882	1017	133	122	65	203	93	85	234	131	237	54	5	46	53	44	22	5	24	10	6	4	19	2	3	11	4	0	12	2	0	3	0	0	0	0	0	0	2	0	2	8	12	18	0	0	2	54	36	21	32	2	9
139537_S33_NODE_985_length_29602_cov_6.156496	991	1419	1266	3211	3509	1115	1585	195	469	1187	710	1193	812	1108	1300	7	4	4	49	423	210	323	214	256	19	26	40	1	2	6	78	120	75	6	21	9	2403	3117	1544	543	561	772	14	5	28	27	6	32	13	16	14	0	5	1	23	13	39	251	186	38	32	21	26	25	75	56	43	1	10
139537_S33_NODE_1276_length_25720_cov_6.311241	1013	1356	1223	4120	3992	1779	2272	90	271	456	136	193	79	86	79	0	43	30	947	698	487	628	541	586	84	35	102	127	20	78	61	98	71	14	92	41	17	5	16	22	18	33	10	18	161	116	118	138	103	152	314	21	24	41	0	1	1	0	0	0	3	3	2	893	506	29	336	46	61
139537_S33_NODE_2547_length_17034_cov_3.687379	472	684	581	58	48	23	26	5	4	140	106	148	278	423	363	8	0	0	4	10	16	16	8	23	2	4	3	0	0	0	10	22	11	3	2	2	51	58	32	35	36	36	1	0	6	0	0	0	1	0	1	6	8	6	2	0	0	13	8	9	10	5	3	10	11	17	0	0	0
139538_S35_NODE_614_length_35901_cov_6.225186	1272	1562	1472	1113	1132	333	362	21	66	192	190	130	0	2	4	0	0	0	3	1	0	2	0	0	0	0	0	20	7	24	1	4	2	0	0	0	90	78	102	2	0	2	0	0	0	75	72	63	11	15	11	2	2	0	239	145	253	27	8	13	0	0	0	0	0	0	0	0	0
139538_S35_NODE_667_length_33864_cov_3.673105	980	1255	1302	126	126	35	81	21	44	161	209	270	587	586	619	37	11	24	28	41	23	74	69	57	260	226	148	5	8	13	89	211	130	46	69	35	452	397	394	300	474	434	64	91	263	6	0	4	3	5	5	16	15	15	8	3	6	10	2	6	0	1	8	111	140	76	113	73	64
139538_S35_NODE_1056_length_26754_cov_4.904528	1168	1432	1329	852	1052	376	600	62	159	618	244	423	159	189	194	0	2	6	109	98	44	57	32	32	5	10	20	0	2	11	13	10	16	0	2	0	5	1	10	8	2	2	0	0	10	0	0	0	0	0	1	0	0	0	3	6	4	18	19	7	4	6	5	42	40	13	10	2	0
139538_S35_NODE_1274_length_24197_cov_5.274377	998	1353	1259	2850	3182	1440	2410	470	968	88	11	31	84	96	122	7	4	15	1	18	7	73	28	65	99	72	102	0	2	1	377	558	265	47	102	24	223	255	144	252	315	551	20	62	354	3	4	10	13	18	19	5	7	15	6	0	2	115	92	25	59	38	35	167	619	261	116	21	93
