seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy PR24_final_contigs_virus_summary.tsv
unbinned_1585	5953	No terminal repeats	NA	16	11	0.9838	NA	0	26.2162	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_1468	6156	No terminal repeats	NA	11	11	0.9837	NA	0	18.8834	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_727	8490	No terminal repeats	NA	10	11	0.9837	NA	1	17.1828	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_692	8671	No terminal repeats	NA	13	11	0.9837	NA	0	22.0027	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_1067	7238	No terminal repeats	NA	10	11	0.9837	NA	1	16.3317	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_2530	4634	No terminal repeats	NA	9	11	0.9837	NA	1	15.4056	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
contig_27794_pilon	25984	No terminal repeats	NA	34	11	0.9836	NA	9	49.1781	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_747	8399	No terminal repeats	NA	12	11	0.9836	NA	3	20.3553	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_124	17641	No terminal repeats	NA	32	11	0.9836	NA	4	52.9700	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
unbinned_1716	5741	No terminal repeats	NA	11	11	0.9836	NA	4	18.2540	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes PR24_final_contigs_virus_summary.tsv
