Contig	allgenomes_nodup_sl_sr.mmi.139536_S27_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139537_S33_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139538_S35_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139539_COM_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139540_COM_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139541_S25_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139542_COM_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139543_S12_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139544_COM_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139545_S147_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139546_S148_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139547_S149_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139548_S150_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139549_S151_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139550_S152_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139551_S153_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139552_S154_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139553_S155_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139554_S156_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139555_S157_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139556_S158_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139557_S159_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139558_S160_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139560_S161_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139561_S162_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139562_S163_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139563_S164_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139564_S165_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139565_S166_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139566_S167_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139567_S168_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139568_S169_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139569_S170_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139570_S171_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139571_S172_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139572_S173_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139573_S174_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139574_S175_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139575_S176_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139576_S177_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139577_S178_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139578_S179_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139579_S180_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139580_S181_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139581_S182_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139582_S183_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139583_S184_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139584_S185_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139585_S186_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139586_S187_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139587_S188_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139588_S189_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139589_S190_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.139590_S191_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.SD3106_S36_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.SD3107_S37_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.SD3108_S38_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.SD3109_S39_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.SD3110_S40_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.SD3111_S41_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.SD3112_S42_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.SD3113_S43_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.SD3114_S44_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.SD9007_COM_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.SD9008_S2_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.SD9009_S3_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.SD9010_S4_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.SD9011_COM_R1_001.fastq.gz_filtered Mean	allgenomes_nodup_sl_sr.mmi.SD9012_S6_R1_001.fastq.gz_filtered Mean
PRET1608S09F00_ctg_90	0	0	0.010215127	2.8155189	2.4820051	1.4542687	2.8036125	1.1653363	2.0161684	0.11182519	0	0.0075767827	0.040522255	0.046407793	0.010215127	0.10174537	0.65221214	0.020159654	0	0.0020294953	0	0	0	0.010215127	0.08138277	0.03064538	0.15315925	0	0	0	0.08402111	0.03064538	0	0.10194831	0.051075634	0.08070626	0	0.020430254	0	0	0	0.09071844	0.020430254	0.051075634	0.11987553	0	0	0	0	0.020294953	0	0.020092003	0.07820322	0.15823299	0.03057773	0.027804086	0.096265726	0.20234068	0.16269788	0.09173319	0	0	0.020430254	0.027059937	0.0660939	0.036463264	0.1069544	0.03828981	0.08422405
PRET1608S09F00_ctg_254	0	0	0	2.7997496	2.5953662	1.1293676	2.7115843	1.3779587	1.9238572	0.11333751	0	0.018910456	0.06424546	0.075641826	0.07526612	0.056355666	0.28866625	0.018910456	0	0	0	0	0	0	0.16956794	0.056606136	0.073137134	0	0	0	0.05410144	0	0.018910456	0.018659987	0.037820913	0.16731371	0.006261741	0	0.018785222	0	0	0.056731373	0.018910456	0.037319973	0.09417658	0	0	0	0	0	0	0.16030057	0.24182843	0.6475892	0.10845335	0.07288666	0.1331246	0.29693174	0.037820913	0.090169065	0	0	0	0.082028806	0.08716343	0.011772073	0.06725109	0.039323732	0
PRET1608S09F02_ctg_7638	0	0.018527607	0.009263803	2.2298772	1.9670552	0.9242945	2.2825153	0.8780368	1.7900614	0.035460122	0.025705522	0.04392638	0.08288343	0.02773006	0.018466258	0.06245399	0.3649693	0.05533742	0	0	0	0.02773006	0	0.0019018404	0.08288343	0.008588957	0.09257669	0	0	0	0.07233129	0.037055213	0.009263803	0.046257667	0.07147239	0.10184049	0	0	0.018527607	0	0	0.018527607	0.024601227	0.02773006	0.090245396	0	0	0	0	0.037055213	0	0.018527607	0.044785276	0.082576685	0.04631902	0.018466258	0.12834355	0.26509202	0.19423313	0.06705522	0	0	0.00809816	0.018404908	0.021411043	0.009938651	0.05239264	0.037055213	0.051533744
PRET1608S09F02_ctg_20396	0	0	0	1.7134854	1.6476312	1.09023	2.133281	0.75643796	1.2308826	0.11863574	0	0	0.014645174	0.014841753	0.029290348	0.073913895	0.22498526	0.014645174	0	0	0	0	0	0.029585218	0.07401219	0.044525262	0.08895223	0	0	0	0.04364065	0	0.014841753	0.059170436	0	0.058777276	0	0	0	0	0	0	0	0.07253784	0.1266955	0	0	0	0	0	0	0.07342245	0.22016905	0.23284844	0.035580892	0.029683506	0.12895617	0.18655396	0.11431099	0.0201494	0	0	0.018085316	0	0.014841753	0	0.056614902	0.014940043	0.038333006
PRET1608S09F02_ctg_27712	0	0	0	0.4116565	0.1823198	0.20634556	0.19082654	0.13829176	0.15622485	0	0	0	0	0.017358318	0.034601677	0	0	0.017358318	0	0	0	0	0	0	0	0	0.033337165	0.034716636	0	0	7.3834925	3.3263593	2.7837682	2.8067594	3.2137027	3.4357972	0	0	0.034486722	0.05207495	0.15392573	0.39130935	0.4978733	0.37176687	2.888378	0	0	0	0.017243361	0	0	0	0	0.034486722	0	0	0	0.027359467	0	0	0	0	0	13.672261	12.673181	2.2111738	3.0036786	0.8819404	1.6253592
PRET1608S09F02_ctg_33586	0	0	0	0.26725888	0.21027918	0.22918782	0.34149745	0.057360407	0.23527919	0.03781726	0	0	0	0	0.018781725	0	0	0.038324874	0	0	0	0.019162437	0	0	0.019035533	0	0.019162437	0	0.03426396	0	7.197462	4.4059644	2.7663705	2.7649746	4.5044417	4.613198	0	0	0	0.13401015	0.1501269	0.48401016	0.38045686	0.53489846	3.16434	0	0	0	0	0	0	0	0	0	0	0	0	0.019162437	0.053807106	0	0	0	0	12.094797	13.123731	2.3672588	2.7321067	0.7986041	2.0821066
PRET1608S17F00_ctg_26	0	0	0	0	0	0.0073309867	0.0036654933	0	0.0036412186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0073309867	0	0	0	0	0	0	0.0016021362
PRET1608S17F00_ctg_27	0.032610893	0.0325676	0.013044356	0.21488558	0.22058527	0.10125249	0.17736861	0.025901128	0.062509015	0.12393582	0.006421171	0.013058786	0.0021788692	0.0021788692	0.0021788692	0.0027849125	0.055871405	0.0038815618	0	0.010865487	0	0.004343309	0	0.0021788692	0.008686618	0	0.008643329	0.013044356	0.017402096	0.014977923	0.0060171424	0.008672188	0	0	0	0.0043144496	0.094701454	0.07536579	0.21013823	0.017272228	0.010807768	0.21648726	0.00858561	0.008628899	0.03011457	0.0043577384	0.0043577384	0.02829644	0.0065077487	0.0043577384	0.019479956	0	0	0	0.008701048	0.010548037	0.014328591	0.023260511	0.011601397	0.006536608	0.01040374	0.0071715103	0.010649043	0.006320164	0.004343309	0	0.0019768549	0.011197368	0.0021788692
PRET1608S17F00_ctg_49	0	0	0	0.023483777	0.030189132	0.009080795	0.022701988	0	0.013621192	0.01813152	0	0	0	0	0	0	0.009080795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRET1608S17F00_ctg_158	0	0	0	0	0	0.008145976	0	0	0	0.008200282	0	0.024275009	0	0	0	0	0.008145976	0	0	0	0	0	0	0	0	0	0	0	0	0.008200282	0	0	0	0	0.008200282	0.008037363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRET1608S17F00_ctg_170	0	0	0	0.008562032	0	0	0	0	0.025572693	0	0	0.016557042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
